Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release
Michiko & Hatchin,3.52 Excellent,manglobe Inc.,Original Work,Adventure,~23min,TV-Series,22,2008
Sword of the Demon Hunter: Kijin Gentosho,3.60 Excellent,Yokohama Animation Lab,Novel,Action,~?min,TV-Series,24,2025
Chrono Crusade,3.51 Excellent,Gonzo K.K.,Manga,Action,~24min,TV-Series,24,2003
Yumeiro Patissiere,3.53 Excellent,"Studio Hibari Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,50,2009
Reborn to Master the Blade: From Hero-King to Extraordinary Squire,3.52 Excellent,"Studio Comet Co., Ltd.",Light Novel,Action Comedy,~24min,TV-Series,12,2023
Senpai Is an Otokonoko,3.55 Excellent,project No.9,Manga,Romantic Comedy,~23min,TV-Series,12,2024
Dragon Ball Daima,3.55 Excellent,"Toei Animation Co., Ltd.",Manga,Adventure,~24min,TV-Series,20,2024
Dropout Idol Fruit Tart,3.58 Excellent,feel.,Manga,Nonsense-Comedy,~24min,TV-Series,12,2020
Inari Kon Kon,3.52 Excellent,"Production IMS Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,10,2014
With You and the Rain,3.69 Excellent,Lesprit Inc.,Manga,Slice of Life,~23min,TV-Series,12,2025
Battle Game in 5 Seconds,3.52 Excellent,"SynergySP Co. ,Ltd., Vega Entertainment Co., Ltd.",Manga,Action,~24min,TV-Series,12,2021
The Demon Girl Next Door: Season 2,3.58 Excellent,"J.C.STAFF Co., Ltd.",Manga,Comedy,~25min,TV-Series,12,2022
Princess Tutu,3.53 Excellent,HAL FILM MAKER Inc.,Fairy Tale,Sentimental Drama,~24min,TV-Series,26,2002
Giant Killing,3.52 Excellent,"Studio DEEN Co., Ltd.",Manga,Ganbatte,~25min,TV-Series,26,2010
Zenshu,3.52 Excellent,"MAPPA Co., Ltd.",Original Work,Adventure,~24min,TV-Series,12,2025
Pokémon Journeys,3.56 Excellent,"OLM, Inc.",Video Game,Adventure,~25min,TV-Series,136,2019
Ikebukuro West Gate Park,3.53 Excellent,Doga Kobo,Novel,Action Drama,~24min,TV-Series,12,2020
No Longer Allowed in Another World,3.52 Excellent,"Atelier Pontdarc Co., Ltd.",Manga,Adventure Comedy,~24min,TV-Series,12,2024
The Royal Tutor,3.53 Excellent,Bridge Inc.,Manga,Comedy,~24min,TV-Series,12,2017
Seitokai Yakuindomo,3.51 Excellent,GoHands,Manga,Nonsense-Comedy,~25min,TV-Series,13,2010
Figure 17,3.54 Excellent,"OLM, Inc.",Original Work,Action Drama,~46min,TV-Series,13,2001
Room Camp,3.53 Excellent,"C-Station Co., Ltd",Manga,Comedy,~4min,TV-Series,12,2020
Re:Monster,3.51 Excellent,"Studio DEEN Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2024
Birdy the Mighty: Decode,3.51 Excellent,A-1 Pictures Inc.,Manga,Action,~24min,TV-Series,13,2008
Ghost Hunt,3.51 Excellent,"J.C.STAFF Co., Ltd.",Manga,Ghost Stories,~24min,TV-Series,25,2006
The Devil Is a Part-Timer! Season 2,3.51 Excellent,3Hz Inc.,Light Novel,Slice of Life Comedy,~24min,TV-Series,12,2022
Layton Mystery Tanteisha: Katri no Nazotoki File,3.57 Excellent,LIDEN FILMS Inc.,Video Game,Crime Fiction Comedy,~24min,TV-Series,50,2018
Angolmois: Record of Mongol Invasion,3.53 Excellent,NAZ Inc.,Manga,Action,~24min,TV-Series,12,2018
Ranma 1/2 (Season 2+),3.51 Excellent,"Studio DEEN Co., Ltd.",Manga,Romantic Comedy,~23min,TV-Series,143,1989
Moyashimon (Season 1),3.52 Excellent,"Shirogumi Inc., Telecom Animation Film Co., Ltd.",Manga,Comedy,~23min,TV-Series,11,2007
The Great Jahy Will Not Be Defeated!,3.51 Excellent,SILVER LINK.,Manga,Comedy,~24min,TV-Series,20,2021
Dragon Pilot: Hisone & Masotan,3.52 Excellent,BONES Inc.,Original Work,Slice of Life Drama,~24min,TV-Series,12,2018
ZatsuTabi: That’s Journey,3.55 Excellent,Makaria Inc.,Manga,Comedy,~24min,TV-Series,12,2025
Amagami SS,3.51 Excellent,"Anime International Co., Inc.",Visual Novel,Romantic Comedy,~25min,TV-Series,25,2010
The Many Sides of Voice Actor Radio,3.54 Excellent,CONNECT,Light Novel,Comedy,~24min,TV-Series,12,2024
Malevolent Spirits: Mononogatari,3.53 Excellent,BANDAI NAMCO Pictures Inc.,Manga,?,~24min,TV-Series,12,2023
In/Spectre,3.51 Excellent,Brain’s Base,Light Novel,Crime Fiction,~24min,TV-Series,12,2020
Squid Girl Season 2,3.51 Excellent,diomedéa inc.,Manga,Comedy,~24min,TV-Series,12,2011
Selector Spread Wixoss,3.52 Excellent,"J.C.STAFF Co., Ltd.",Original Work,Drama,~24min,TV-Series,12,2014
Brynhildr in the Darkness,3.50 Excellent,Arms,Manga,Action Drama,~24min,TV-Series,13,2014
"Wave, Listen to Me!",3.53 Excellent,SUNRISE Inc.,Manga,Comedy,~24min,TV-Series,12,2020
Yuruyuri: Happy Go Lily,3.51 Excellent,Doga Kobo,Manga,Comedy,~24min,TV-Series,12,2011
The Seven Deadly Sins: Four Knights of the Apocalypse,3.54 Excellent,"Telecom Animation Film Co., Ltd.",Manga,?,~24min,TV-Series,24,2023
Buso Renkin,3.50 Excellent,"XEBEC, Inc.",Manga,Fighting-Shounen,~24min,TV-Series,26,2006
You’re under Arrest: Fast & Furious,3.55 Excellent,"Studio DEEN Co., Ltd.",Manga,Comedy,~22min,TV-Series,26,2001
Unlimited Psychic Squad,3.51 Excellent,manglobe Inc.,Manga,Action Drama,~24min,TV-Series,12,2013
Negative Positive Angler,3.55 Excellent,Nut Inc.,Original Work,Slice of Life Drama,~24min,TV-Series,12,2024
Welcome to the Outcast’s Restaurant!,3.59 Excellent,"OLM, Inc.",Light Novel,Comedy,~24min,TV-Series,12,2025
Reikenzan: Hoshikuzu-tachi no Utage,3.52 Excellent,"Studio DEEN Co., Ltd.",Light Novel,Comedy,~24min,TV-Series,12,2016
AKB0048,3.52 Excellent,Satelight Inc.,Other,Ganbatte,~24min,TV-Series,13,2012
Lazarus,3.60 Excellent,"MAPPA Co., Ltd.",Original Work,Action Drama,~24min,TV-Series,13,2025
"Listen to Me, Girls. I Am Your Father!",3.50 Excellent,feel.,Light Novel,Romantic Comedy,~24min,TV-Series,12,2012
Aoharu × Machinegun,3.50 Excellent,Brain’s Base,Manga,Action,~24min,TV-Series,12,2015
Failure Frame: I Became the Strongest and Annihilated Everything with Low-Level Spells,3.50 Excellent,Seven Arcs Ltd.,Light Novel,Action Drama,~24min,TV-Series,12,2024
Bottom-Tier Character Tomozaki 2nd Stage,3.52 Excellent,project No.9,Light Novel,Romantic Comedy,~24min,TV-Series,13,2024
Whisper Me a Love Song,3.54 Excellent,"CLOUDHEARTS Inc., Yokohama Animation Lab",Manga,Romance,~24min,TV-Series,12,2024
Major 2nd,3.54 Excellent,"OLM, Inc.",Manga,Ganbatte,~25min,TV-Series,25,2018
Handyman Saitou in Another World,3.50 Excellent,"C2C Co., Ltd.",Manga,Adventure,~24min,TV-Series,12,2022
Fantastic Children,3.55 Excellent,"Nippon Animation Co., Ltd.",Original Work,Adventure,~24min,TV-Series,26,2004
Monster Musume: Everyday Life with Monster Girls,3.50 Excellent,Lerche,Manga,Comedy,~24min,TV-Series,12,2015
I Have a Crush at Work,3.56 Excellent,BLADE,Manga,Romantic Comedy,~24min,TV-Series,12,2025
Mobile Suit Gundam Unicorn RE:0096,3.56 Excellent,SUNRISE Inc.,Light Novel,Action,~24min,TV-Series,22,2016
High School Fleet,3.51 Excellent,"Production IMS Co., Ltd.",Original Work,Action,~24min,TV-Series,12,2016
Kokkoku,3.46 Excellent,Geno Studio Inc.,Manga,Action Drama,~24min,TV-Series,12,2018
Shy (Season 2),3.49 Excellent,"8bit Corp, Inc.",Manga,Action Drama,~24min,TV-Series,12,2024
Flip Flappers,3.47 Excellent,3Hz Inc.,Original Work,Adventure,~24min,TV-Series,13,2016
Zakuro,3.46 Excellent,"J.C.STAFF Co., Ltd.",Manga,Romance,~24min,TV-Series,13,2010
Harukana Receive,3.47 Excellent,"C2C Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,12,2018
Tari Tari,3.46 Excellent,"P.A. Works Co., Ltd.",Original Work,Slice of Life Drama,~24min,TV-Series,13,2012
Apocalypse Bringer Mynoghra: World Conquest Starts with the Civilization of Ruin,3.52 Excellent,"MAHO FILM Co., Ltd.",Light Novel,Action Drama,~24min,TV-Series,12,2025
"Hensuki: Are You Willing to Fall in Love with a Pervert, as Long as She’s a Cutie?",3.46 Excellent,GEEK TOYS Inc.,Light Novel,Romantic Comedy,~24min,TV-Series,12,2019
Hayate the Combat Butler!,3.46 Excellent,"SynergySP Co. ,Ltd.",Manga,Nonsense-Comedy,~25min,TV-Series,52,2007
Scrapped Princess,3.46 Excellent,BONES Inc.,Light Novel,Adventure,~23min,TV-Series,24,2003
Genshiken Second Generation,3.48 Excellent,"Production I.G., Inc.",Manga,Comedy,~24min,TV-Series,13,2013
Nijuu Mensou no Musume,3.47 Excellent,"BONES Inc., Telecom Animation Film Co., Ltd.",Manga,Adventure,~24min,TV-Series,22,2008
Symphogear G,3.47 Excellent,Satelight Inc.,Original Work,Action,~24min,TV-Series,13,2013
Rozen Maiden: Zurückspulen,3.47 Excellent,"Studio DEEN Co., Ltd.",Manga,Adventure,~25min,TV-Series,13,2013
Unnamed Memory,3.46 Excellent,ENGI Co.Ltd.,Light Novel,Action Drama,~24min,TV-Series,12,2024
"Banished from the Hero’s Party, I Decided to Live a Quiet Life in the Countryside: Season 2",3.46 Excellent,Studio Flad Ltd.,Light Novel,Comedy,~24min,TV-Series,12,2024
Is the Order a Rabbit?,3.46 Excellent,"WHITE FOX Co., Ltd.",Manga,Comedy,~24min,TV-Series,12,2014
The Perfect Insider,3.46 Excellent,A-1 Pictures Inc.,Novel,Crime Fiction,~23min,TV-Series,11,2015
You Are Ms. Servant.,3.47 Excellent,Felix Film,Manga,Romantic Comedy,~23min,TV-Series,12,2024
Teogonia,3.48 Excellent,ASAHI PRODUCTION,Light Novel,Action Drama,~24min,TV-Series,12,2025
Midori Days,3.45 Excellent,"Pierrot Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,13,2004
Chrome Shelled Regios,3.45 Excellent,ZEXCS Inc.,Light Novel,Action Drama,~24min,TV-Series,24,2009
Spy Classroom: Season 2,3.50 Excellent,feel.,Light Novel,?,~24min,TV-Series,12,2023
Persona 5 the Animation,3.46 Excellent,CloverWorks Inc.,Video Game,Action,~24min,TV-Series,26,2018
Management of a Novice Alchemist,3.46 Excellent,ENGI Co.Ltd.,Light Novel,Adventure Comedy,~24min,TV-Series,12,2022
"Studio Apartment, Good Lighting, Angel Included",3.47 Excellent,Okuruto Noboru Inc.,Manga,Romantic Comedy,~24min,TV-Series,12,2024
You and Me,3.46 Excellent,"J.C.STAFF Co., Ltd.",Manga,Comedy,~24min,TV-Series,13,2011
Armed Girl’s Machiavellism,3.45 Excellent,SILVER LINK.,Manga,Action Comedy,~24min,TV-Series,12,2017
Meiji Tokyo Renka,3.48 Excellent,"TMS Entertainment Co., Ltd.",Visual Novel,Adventure,~24min,TV-Series,12,2019
Love Live! Sunshine!!,3.46 Excellent,SUNRISE Inc.,Original Work,Ganbatte,~24min,TV-Series,13,2016
Sengoku Basara: Samurai Kings 2,3.46 Excellent,"Production I.G., Inc.",Video Game,Action,~24min,TV-Series,12,2010
Possibly the Greatest Alchemist of All Time,3.45 Excellent,"Studio Comet Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2025
High Card,3.48 Excellent,"Studio Hibari Co., Ltd.",Original Work,Action,~24min,TV-Series,12,2023
Ghost Hound,3.45 Excellent,"Production I.G., Inc.",Original Work,Drama,~25min,TV-Series,22,2007
Magical Girl Lyrical Nanoha,3.45 Excellent,Seven Arcs Ltd.,Original Work,Action Drama,~26min,TV-Series,13,2004
Angels of Death,3.45 Excellent,"J.C.STAFF Co., Ltd.",Video Game,Supernatural Thriller,~24min,TV-Series,12,2018
Go! Go! Loser Ranger! (Season 2),3.57 Excellent,Yostar Pictures Inc.,Manga,Action,~24min,TV-Series,12,2025
"If My Favorite Pop Idol Made It to the Budokan, I Would Die",3.48 Excellent,"8bit Corp, Inc.",Manga,Comedy,~24min,TV-Series,12,2020
Blade Runner: Black Lotus,3.53 Excellent,SOLA DIGITAL ARTS Inc.,,Action,~22min,TV-Series,13,
Orient Cour 2,3.48 Excellent,"ACGT Co., Ltd.",Manga,Adventure,~24min,TV-Series,12,2022
Hourou Musuko Wandering Son,3.46 Excellent,"Anime International Co., Inc.",Manga,Slice of Life Drama,~23min,TV-Series,11,2011
Witch Craft Works,3.45 Excellent,"J.C.STAFF Co., Ltd.",Manga,Action Comedy,~24min,TV-Series,12,2014
Yozakura Quartet: Hana no Uta,3.46 Excellent,"Tatsunoko Production Co., Ltd.",Manga,Action,~25min,TV-Series,13,2013
Utawarerumono: The False Faces,3.45 Excellent,"WHITE FOX Co., Ltd.",Visual Novel,Adventure,~25min,TV-Series,25,2015
Black Cat,3.44 Excellent,Gonzo K.K.,Manga,Action Comedy,~24min,TV-Series,23,2005
Salaryman’s Club,3.51 Excellent,LIDEN FILMS Inc.,Original Work,Slice of Life Drama,~23min,TV-Series,12,2022
Children of the Whales,3.45 Excellent,"J.C.STAFF Co., Ltd.",Manga,Drama,~24min,TV-Series,12,2017
Honobono Log,3.48 Excellent,Fanworks Inc.,Other,Romance,~2min,TV-Series,10,2016
Dog Days Season 2,3.45 Excellent,Seven Arcs Ltd.,Original Work,Action Comedy,~24min,TV-Series,13,2012
Danganronpa 3: The End of Hope’s Peak High School - Despair Arc,3.45 Excellent,Lerche,Video Game,Drama,~24min,TV-Series,11,2016
Saikano,3.45 Excellent,Gonzo K.K.,Manga,Romantic Drama,~23min,TV-Series,13,2002
When Will Ayumu Make His Move?,3.46 Excellent,SILVER LINK.,Manga,Romantic Comedy,~24min,TV-Series,12,2022
Endo and Kobayashi Live! The Latest on Tsundere Villainess Lieselotte,3.47 Excellent,"Tezuka Productions Co., Ltd.",Light Novel,Romantic Comedy,~25min,TV-Series,12,2023
"Kiss Him, Not Me!",3.44 Excellent,Brain’s Base,Manga,Romantic Comedy,~24min,TV-Series,12,2016
Bang Dream! It’s MyGO!!!!!,3.54 Excellent,SANZIGEN Inc.,Original Work,?,~24min,TV-Series,13,2023
Altair: A Record of Battles,3.47 Excellent,"MAPPA Co., Ltd.",Manga,Adventure,~24min,TV-Series,24,2017
Amanchu!,3.46 Excellent,"J.C.STAFF Co., Ltd.",Manga,Slice of Life Drama,~24min,TV-Series,12,2016
Valvrave the Liberator,3.45 Excellent,SUNRISE Inc.,Original Work,Action,~24min,TV-Series,12,2013
"Reborn as a Vending Machine, Now I Wander the Dungeon",3.44 Excellent,"AXsiZ Co., Ltd., Studio Gokumi",Light Novel,Comedy,~24min,TV-Series,12,2023
Psychic Detective Yakumo,3.44 Excellent,Bee Train Productions Inc.,Light Novel,Crime Fiction,~25min,TV-Series,13,2010
Tower of God: Season 2,3.45 Excellent,"The Answer Studio Co., Ltd.",Manhwa,Action Drama,~24min,TV-Series,26,2024
Eromanga Sensei,3.44 Excellent,A-1 Pictures Inc.,Light Novel,Romantic Comedy,~24min,TV-Series,12,2017
Mysterious Girlfriend X,3.44 Excellent,Hoods Entertainment Inc.,Manga,Romantic Comedy,~24min,TV-Series,13,2012
Rewrite (Season 2),3.45 Excellent,"8bit Corp, Inc.",Visual Novel,Action,~25min,TV-Series,11,2017
Elemental Gelade,3.44 Excellent,"XEBEC, Inc.",Manga,Adventure,~24min,TV-Series,26,2005
City Hunter 3,3.50 Excellent,SUNRISE Inc.,Manga,Action Comedy,~24min,TV-Series,13,1989
Nyan Koi!,3.43 Excellent,"Anime International Co., Inc.",Manga,Romantic Comedy,~24min,TV-Series,12,2009
Tomorrow’s Joe,3.50 Excellent,"Mushi Production Co., Ltd.",Manga,Ganbatte,~25min,TV-Series,79,1970
No Guns Life,3.45 Excellent,MADHOUSE Inc.,Manga,Action,~24min,TV-Series,12,2019
UQ Holder!,3.44 Excellent,"J.C.STAFF Co., Ltd.",Manga,Action Comedy,~24min,TV-Series,12,2017
Hidamari Sketch: Hoshimittsu,3.48 Excellent,SHAFT Inc.,Manga,Comedy,~25min,TV-Series,12,2010
Synduality Noir (Part 2),3.56 Excellent,"8bit Corp, Inc.",Video Game,?,~24min,TV-Series,12,2024
Sola,3.43 Excellent,Nomad Inc.,Manga,Sentimental Drama,~24min,TV-Series,13,2007
Amanchu! Advance,3.49 Excellent,"J.C.STAFF Co., Ltd.",Manga,Slice of Life Drama,~24min,TV-Series,12,2018
Karin,3.43 Excellent,"J.C.STAFF Co., Ltd.",Manga,Romantic Comedy,~25min,TV-Series,24,2005
Sirius the Jaeger,3.44 Excellent,"P.A. Works Co., Ltd.",Original Work,Action Drama,~24min,TV-Series,12,2018
Mr. Osomatsu,3.47 Excellent,"Pierrot Co., Ltd.",Manga,Comedy,~25min,TV-Series,25,2015
Aggressive Retsuko,3.49 Excellent,Fanworks Inc.,Other,Comedy,~1min,TV-Series,100,2016
The Shiunji Family Children,3.45 Excellent,Doga Kobo,Manga,Romantic Comedy,~24min,TV-Series,12,2025
Berserk,3.43 Excellent,"GEMBA Inc., Millepensee Co., Ltd.",Manga,Action Drama,~24min,TV-Series,12,2016
Fafner Exodus,3.48 Excellent,"XEBEC, Inc.",Original Work,Action Drama,~24min,TV-Series,13,2015
Loner Life in Another World,3.44 Excellent,"Hayabusa Film, Passione Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2024
Shaman King (2021),3.44 Excellent,Bridge Inc.,Manga,Fighting-Shounen,~24min,TV-Series,52,2021
The Vexations of a Shut-In Vampire Princess,3.45 Excellent,project No.9,Light Novel,Comedy,~24min,TV-Series,12,2023
Our Last Crusade or the Rise of a New World: Season 2,3.46 Excellent,"SILVER LINK., Studio Palett",Light Novel,Action,~24min,TV-Series,12,2024
The Third: The Girl with the Blue Eye,3.45 Excellent,"XEBEC, Inc.",Light Novel,Adventure,~24min,TV-Series,24,2006
Noir,3.43 Excellent,Bee Train Productions Inc.,Original Work,Action Drama,~25min,TV-Series,26,2001
"Girlfriend, Girlfriend",3.43 Excellent,"Tezuka Productions Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,12,2021
Dahlia in Bloom: Crafting a Fresh Start with Magical Tools,3.44 Excellent,"Typhoon Graphics Co., Ltd.",Light Novel,Comedy,~24min,TV-Series,12,2024
The Foolish Angel Dances with the Devil,3.44 Excellent,Children’s Playground Entertainment Inc.,Manga,Romantic Comedy,~24min,TV-Series,12,2024
Engage Kiss,3.44 Excellent,A-1 Pictures Inc.,Original Work,Romantic Comedy,~24min,TV-Series,13,2022
Sagrada Reset,3.44 Excellent,David Production Inc.,Light Novel,Slice of Life Drama,~25min,TV-Series,24,2017
Fafner,3.44 Excellent,"XEBEC, Inc.",Original Work,Action Drama,~24min,TV-Series,26,2004
Shy,3.44 Excellent,"8bit Corp, Inc.",Manga,Action Drama,~24min,TV-Series,12,2023
Magic Maker: How to Make Magic in Another World,3.43 Excellent,"Studio DEEN Co., Ltd.",Light Novel,Comedy,~24min,TV-Series,12,2025
Wolf’s Rain,3.42 Excellent,BONES Inc.,Original Work,Adventure,~23min,TV-Series,30,2003
The Pilot’s Love Song,3.43 Excellent,"TMS Entertainment Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,13,2014
The Dungeon of Black Company,3.43 Excellent,SILVER LINK.,Manga,Action Comedy,~24min,TV-Series,12,2021
Tamayura: More Aggressive,3.48 Excellent,"Yumeta Co., Ltd.",Original Work,Slice of Life Drama,~25min,TV-Series,12,2013
City Hunter ’91,3.49 Excellent,SUNRISE Inc.,Manga,Action Comedy,~26min,TV-Series,13,1991
Mekakucity Actors,3.39 Excellent,SHAFT Inc.,Other,Action Drama,~24min,TV-Series,12,2014
Asteroid in Love,3.40 Excellent,Doga Kobo,Manga,Comedy,~24min,TV-Series,12,2020
Gakuen Alice,3.40 Excellent,"Group Tac Co., Ltd.",Manga,Comedy,~25min,TV-Series,26,2004
Tenshi na Konamaiki,3.40 Excellent,"TMS Entertainment Co., Ltd.",Manga,Romantic Comedy,~25min,TV-Series,50,2002
Zatch Bell!,3.41 Excellent,"Toei Animation Co., Ltd.",Manga,Fighting-Shounen,~23min,TV-Series,150,2003
Shonen Maid,3.41 Excellent,"8bit Corp, Inc.",Manga,Comedy,~24min,TV-Series,12,2016
Inazuma Eleven: Orion no Kokuin,3.77 Excellent,"OLM, Inc.",Video Game,Ganbatte,~23min,TV-Series,49,2018
Genshiken,3.38 Excellent,"Palm Co., Ltd.",Manga,Comedy,~25min,TV-Series,12,2004
Texhnolyze,3.39 Excellent,MADHOUSE Inc.,Original Work,Action Drama,~23min,TV-Series,22,2003
Invaders of the Rokujyoma!?,3.39 Excellent,SILVER LINK.,Light Novel,Comedy,~23min,TV-Series,12,2014
Tonari no Seki-kun: The Master of Killing Time,3.39 Excellent,"Shin-ei Animation Co., Ltd.",Manga,Comedy,~8min,TV-Series,21,2014
Magical Circle Guru-Guru,3.47 Excellent,"Production I.G., Inc.",Manga,Adventure,~25min,TV-Series,24,2017
Warlords of Sigrdrifa,3.41 Excellent,A-1 Pictures Inc.,Original Work,Action Drama,~24min,TV-Series,12,2020
Ben-To,3.38 Excellent,David Production Inc.,Light Novel,Comedy,~24min,TV-Series,12,2011
This Art Club Has a Problem!,3.39 Excellent,feel.,Manga,Comedy,~24min,TV-Series,12,2016
The Gorilla God’s Go-To Girl,3.40 Excellent,"Kachigarasu Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,12,2025
I’m Getting Married to a Girl I Hate in My Class,3.39 Excellent,"AXsiZ Co., Ltd., Studio Gokumi",Light Novel,Romantic Comedy,~24min,TV-Series,12,2025
The Ones Within,3.40 Excellent,SILVER LINK.,Manga,Drama,~24min,TV-Series,12,2019
Mobile Suit Gundam Wing,3.39 Excellent,SUNRISE Inc.,Original Work,Action Drama,~24min,TV-Series,49,1995
The Fire Hunter,3.43 Excellent,"SIGNAL.MD, Inc.",Light Novel,Action,~24min,TV-Series,10,2023
Kurokami: The Animation,3.38 Excellent,SUNRISE Inc.,Manga,Action,~24min,TV-Series,23,2009
The Misfit of Demon King Academy II (Cour 2),3.39 Excellent,SILVER LINK.,Light Novel,Action,~24min,TV-Series,12,2024
Encouragement of Climb: Season 2,3.41 Excellent,"8bit Corp, Inc.",Manga,Comedy,~14min,TV-Series,24,2014
Neuro,3.39 Excellent,MADHOUSE Inc.,Manga,Crime Fiction,~23min,TV-Series,25,2007
Saki: The Nationals,3.41 Excellent,Studio Gokumi,Manga,Ganbatte,~24min,TV-Series,13,2014
Blade Dance of the Elementalers,3.38 Excellent,"TNK Co., Ltd.",Light Novel,Romantic Comedy,~24min,TV-Series,12,2014
Nagasarete Airanto,3.38 Excellent,feel.,Manga,Comedy,~24min,TV-Series,26,2007
Haruka Nogizaka’s Secret,3.38 Excellent,diomedéa inc.,Light Novel,Romantic Comedy,~25min,TV-Series,12,2008
Starmyu Season 2,3.49 Excellent,"C-Station Co., Ltd",Original Work,Ganbatte,~24min,TV-Series,12,2017
Mobile Suit Gundam GQuuuuuuX,3.45 Excellent,"SUNRISE Inc., Studio Khara",Original Work,Action,~25min,TV-Series,12,2025
Kiba,3.38 Excellent,MADHOUSE Inc.,Original Work,Adventure,~24min,TV-Series,51,2006
The Girl I Like Forgot Her Glasses,3.39 Excellent,GoHands,Manga,Romantic Comedy,~24min,TV-Series,13,2023
"WataMote: No Matter How I Look at It, It’s You Guys Fault I’m Not Popular!",3.38 Excellent,SILVER LINK.,Manga,Comedy,~24min,TV-Series,12,2013
Revolutionary Girl Utena,3.39 Excellent,"J.C.STAFF Co., Ltd.",Manga,Drama,~25min,TV-Series,39,1997
Muhyo & Roji’s Bureau of Supernatural Investigation Season 2,3.47 Excellent,"Studio DEEN Co., Ltd.",Manga,Ghost Stories,~24min,TV-Series,12,2020
"Okitsura: Fell in Love with an Okinawan Girl, but I Just Wish I Know What She’s Saying",3.40 Excellent,"Millepensee Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,12,2025
Matoi the Sacred Slayer,3.41 Excellent,"WHITE FOX Co., Ltd.",Original Work,Action Comedy,~25min,TV-Series,12,2016
Pokémon Horizons,3.51 Excellent,"OLM, Inc.",Video Game,Adventure,~25min,TV-Series,120,2023
The Comic Artist and His Assistants,3.38 Excellent,ZEXCS Inc.,Manga,Comedy,~13min,TV-Series,12,2014
The Wallflower,3.38 Excellent,"Nippon Animation Co., Ltd.",Manga,Romantic Comedy,~24min,TV-Series,25,2006
City Hunter,3.39 Excellent,SUNRISE Inc.,Manga,Action Comedy,~25min,TV-Series,51,1987
RahXephon,3.38 Excellent,BONES Inc.,Original Work,Action Drama,~23min,TV-Series,26,2002
Chained Soldier,3.38 Excellent,Seven Arcs Ltd.,Manga,Action,~24min,TV-Series,12,2024
High Card (Season 2),3.46 Excellent,"Studio Hibari Co., Ltd.",Original Work,Action,~24min,TV-Series,12,2024
Dropkick on My Devil!!! X,3.42 Excellent,Nomad Inc.,Manga,Nonsense-Comedy,~24min,TV-Series,12,2022
Anne Shirley,3.49 Excellent,"The Answer Studio Co., Ltd.",Novel,?,~?min,TV-Series,24,2025
The Slayers Revolution,3.39 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Adventure Comedy,~24min,TV-Series,13,2008
Peach Girl: Super Pop Love Hurricane,3.38 Excellent,"Studio Comet Co., Ltd.",Manga,Romance,~24min,TV-Series,25,2005
Tegami Bachi: Letter Bee,3.38 Excellent,"St.Signpost.CO.,Ltd.",Manga,Drama,~21min,TV-Series,25,2009
Aria the Animation,3.38 Excellent,HAL FILM MAKER Inc.,Manga,Slice of Life Drama,~24min,TV-Series,13,2005
A Journey through Another World: Raising Kids While Adventuring,3.38 Excellent,EMT Squared,Light Novel,Adventure,~24min,TV-Series,12,2024
Plunderer,3.37 Excellent,GEEK TOYS Inc.,Manga,Action,~23min,TV-Series,24,2020
Ronja the Robber’s Daughter,3.40 Excellent,Polygon Pictures Inc.,Novel,Adventure,~25min,TV-Series,26,2014
Soaring Sky! Pretty Cure,3.64 Excellent,"Toei Animation Co., Ltd.",Original Work,Action,~24min,TV-Series,50,2023
I Left My A-Rank Party to Help My Former Students Reach the Dungeon Depths!,3.38 Excellent,BANDAI NAMCO Pictures Inc.,Light Novel,Adventure,~23min,TV-Series,24,2025
Digimon: Digital Monsters,3.36 Excellent,"Toei Animation Co., Ltd.",Original Work,Adventure,~25min,TV-Series,54,1999
RIN-NE 2,3.45 Excellent,Brain’s Base,Manga,Comedy,~25min,TV-Series,25,2016
Burning Kabaddi,3.39 Excellent,"TMS Entertainment Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,12,2021
Sakamoto Days: Part 2,3.45 Excellent,"TMS Entertainment Co., Ltd.",Manga,Action Comedy,~?min,TV-Series,12,2025
Selector Infected Wixoss,3.37 Excellent,"J.C.STAFF Co., Ltd.",Original Work,Drama,~24min,TV-Series,12,2014
Island,3.38 Excellent,feel.,Visual Novel,Sentimental Drama,~24min,TV-Series,12,2018
Princess Connect! Re: Dive,3.37 Excellent,"CygamesPictures, Inc.",Video Game,Action Comedy,~24min,TV-Series,13,2020
The Prince of Tennis II,3.40 Excellent,"M.S.C. Inc., Production I.G., Inc.",Manga,Ganbatte,~24min,TV-Series,13,2012
Hanada Shounen-shi,3.60 Excellent,MADHOUSE Inc.,Manga,Comedy,~25min,TV-Series,25,2002
