Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release
Fruits Basket Season 2,4.29 Masterpiece,"TMS Entertainment Co., Ltd.",Manga,Drama,~24min,TV-Series,25,2020
Kaiju No. 8,4.28 Masterpiece,"Production I.G., Inc.",Manga,Action Comedy,~24min,TV-Series,12,2024
Mushoku Tensei: Jobless Reincarnation,4.28 Masterpiece,"StudioBind Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,11,2021
Solo Leveling,4.28 Masterpiece,A-1 Pictures Inc.,Webtoon,Adventure,~24min,TV-Series,12,2024
Attack on Titan: Season 2,4.27 Masterpiece,"WIT STUDIO, Inc.",Manga,Action Drama,~24min,TV-Series,12,2017
One Punch Man,4.27 Masterpiece,MADHOUSE Inc.,Manga,Action Comedy,~24min,TV-Series,12,2015
Bunny Drop,4.27 Masterpiece,"Production I.G., Inc.",Manga,Slice of Life Drama,~23min,TV-Series,11,2011
Jujutsu Kaisen: Season 2,4.27 Masterpiece,"MAPPA Co., Ltd.",Manga,Action Drama,~24min,TV-Series,23,2023
Your Lie in April,4.26 Masterpiece,A-1 Pictures Inc.,Manga,Sentimental Drama,~23min,TV-Series,22,2014
The Rising of the Shield Hero,4.26 Masterpiece,"Kinema Citrus Co., Ltd.",Light Novel,Adventure,~25min,TV-Series,25,2018
Made in Abyss: The Golden City of the Scorching Sun,4.26 Masterpiece,"Kinema Citrus Co., Ltd.",Manga,Adventure,~26min,TV-Series,12,2022
Spy × Family,4.26 Masterpiece,"CloverWorks Inc., WIT STUDIO, Inc.",Manga,Action Comedy,~24min,TV-Series,12,2022
Violet Evergarden,4.25 Masterpiece,"Kyoto Animation Co., Ltd.",Light Novel,Sentimental Drama,~24min,TV-Series,13,2018
Haikyu!! To the Top,4.25 Masterpiece,"Production I.G., Inc.",Manga,Ganbatte,~24min,TV-Series,13,2020
My Hero Academia Season 3,4.24 Masterpiece,BONES Inc.,Manga,Action Comedy,~24min,TV-Series,25,2018
Toradora!,4.24 Masterpiece,"J.C.STAFF Co., Ltd.",Light Novel,Romantic Comedy,~24min,TV-Series,25,2008
Vinland Saga,4.24 Masterpiece,"WIT STUDIO, Inc.",Manga,Adventure,~25min,TV-Series,24,2019
Hajime no Ippo: The Fighting! Rising,4.25 Masterpiece,"MADHOUSE Inc., MAPPA Co., Ltd.",Manga,Ganbatte,~24min,TV-Series,25,2013
The Promised Neverland,4.24 Masterpiece,CloverWorks Inc.,Manga,Supernatural Thriller,~23min,TV-Series,12,2019
86: Eighty Six (Season 2),4.24 Masterpiece,A-1 Pictures Inc.,Light Novel,Action Drama,~24min,TV-Series,12,2021
Kaguya-sama: Love Is War?,4.23 Masterpiece,A-1 Pictures Inc.,Manga,Romantic Comedy,~25min,TV-Series,12,2020
Spice and Wolf: Season 2,4.22 Excellent,"Brain’s Base, Marvy Jack",Light Novel,Adventure,~24min,TV-Series,12,2009
My Hero Academia Season 2,4.22 Excellent,BONES Inc.,Manga,Action Comedy,~24min,TV-Series,25,2017
March Comes in Like a Lion Season 2,4.23 Masterpiece,SHAFT Inc.,Manga,Drama,~25min,TV-Series,22,2017
Mushoku Tensei: Jobless Reincarnation - Season 2 Cour 2,4.22 Excellent,"StudioBind Co., Ltd.",Light Novel,Adventure,~24min,TV-Series,12,2024
Is It Wrong to Try to Pick Up Girls in a Dungeon? IV - Part 2,4.22 Excellent,"J.C.STAFF Co., Ltd.",Light Novel,Action Comedy,~24min,TV-Series,11,2023
Horimiya,4.21 Excellent,CloverWorks Inc.,Manga,Romantic Comedy,~24min,TV-Series,13,2021
My Hero Academia Season 4,4.21 Excellent,BONES Inc.,Manga,Action Comedy,~24min,TV-Series,25,2019
The Eminence in Shadow: Season 2,4.21 Excellent,Nexus,Light Novel,Action Comedy,~24min,TV-Series,12,2023
Gintama (Episodes 342-353),4.24 Masterpiece,BANDAI NAMCO Pictures Inc.,Manga,Nonsense-Comedy,~24min,TV-Series,12,2018
Kingdom Season 3,4.27 Masterpiece,"Pierrot Co., Ltd., St.Signpost.CO.,Ltd.",Manga,Action,~25min,TV-Series,26,2020
Gintama (Episodes 354-367),4.24 Masterpiece,BANDAI NAMCO Pictures Inc.,Manga,Nonsense-Comedy,~24min,TV-Series,14,2018
